N	M	R_coefficient	Q_coefficient
0	0	1.0226177112174e-14	0.0
1	0	6.805746281587908e-11	0.0
1	1	6.955147727674312e-11	6.208912615154e-11
2	0	-2.7180750764483595e-11	0.0
2	1	-1.7286503773437483e-11	-2.856014825191758e-11
2	2	-8.179252745410312e-12	1.0484692766094935e-11
3	0	1.531756732011644e-11	0.0
3	1	1.1106055673237562e-11	1.6555143716820737e-11
3	2	-1.073488588134647e-11	-9.973367317351256e-12
3	3	-1.0215862321126235e-11	-5.697560183250258e-12
4	0	-5.155863983191491e-12	0.0
4	1	-9.604291411025843e-12	-7.143414997506213e-12
4	2	1.9118115689234983e-11	-1.2772744622156276e-11
4	3	9.99675055640813e-12	7.758028466721277e-12
4	4	4.652107423495887e-13	-4.214732773093978e-12
5	0	-9.35195766174666e-12	0.0
5	1	8.348242846294967e-12	-2.4661924272171096e-12
5	2	-5.297367546315859e-12	4.7383615770388e-13
5	3	-8.394786689866809e-13	5.596681151908877e-12
5	4	3.624713203878218e-13	-1.3556149197132293e-12
5	5	1.2734501681021614e-13	6.383273070117876e-13
6	0	8.018466192541607e-12	0.0
6	1	7.494658587340591e-12	-1.3624753240610375e-12
6	2	2.1255129566568462e-12	3.930678280000113e-12
6	3	2.9806464531266217e-12	-4.010723799955715e-13
6	4	-4.648829176034954e-12	6.9773583986474805e-12
6	5	1.8259236933759523e-12	-2.4180466210563286e-12
6	6	2.2637027963915006e-12	-3.953610977053875e-12
7	0	-6.057937748618069e-12	0.0
7	1	-4.009025404977915e-12	-2.599086071838377e-12
7	2	-9.538782236978604e-13	-2.9921860522689165e-13
7	3	-7.349563437829392e-12	-3.494111274548265e-12
7	4	8.423424862548048e-12	-3.750031190089036e-12
7	5	2.0074448860406084e-12	-2.4039227731270334e-12
7	6	2.4803141321258014e-12	4.646058740511875e-12
7	7	3.3153088266938462e-12	3.0424773483046047e-12
8	0	1.0659281613616531e-11	0.0
8	1	5.551796025040845e-12	3.4137625095968566e-12
8	2	-6.026274666275437e-12	3.9551098063607665e-13
8	3	4.322195559229583e-12	-2.6904767889754247e-12
8	4	-6.13443993854709e-12	9.625678897581443e-13
8	5	-3.0347014864797717e-12	2.0059865442386968e-12
8	6	-8.263009483785259e-13	-3.327968813150761e-12
8	7	-2.1345010160182936e-12	5.955958130462368e-13
8	8	-1.149290897507046e-12	2.0013318046427553e-12
9	0	-2.484155430043594e-12	0.0
9	1	-5.7783092862293805e-12	-5.655380581613533e-13
9	2	2.063230126064272e-12	-9.55624782797498e-13
9	3	-1.8057568912741816e-12	-8.620018909004792e-13
9	4	1.6142030658088706e-12	-1.351974865117325e-12
9	5	3.0138322269396133e-12	-5.6301172631644014e-14
9	6	3.1353840787667485e-12	4.029513602960752e-12
9	7	-2.151624915845172e-12	-2.0729573560441225e-13
9	8	3.489023631316979e-13	-8.470555084941045e-13
9	9	1.6953772121943331e-12	-1.0586026006348807e-12
10	0	-2.6096561238440613e-12	0.0
10	1	-1.459583812664433e-12	2.2269278437031135e-12
10	2	-1.8319588437630727e-12	-1.8455310777721023e-12
10	3	-1.4483057774358866e-13	-1.7079196036882304e-12
10	4	2.648712282876255e-13	-6.749846225611727e-13
10	5	-1.0758946711903854e-12	4.6969572634561324e-14
10	6	1.5679019074106088e-12	-2.47512146887599e-12
10	7	-2.2251483041488768e-13	1.6399155177017944e-13
10	8	1.6237881995144238e-12	-4.331219911795933e-13
10	9	-3.0711917863485175e-12	-4.212391369042359e-14
10	10	-1.1520286171292362e-12	1.6433925268160546e-12
11	0	-1.2813746621221068e-12	0.0
11	1	2.187701961273159e-13	-9.18212106519654e-14
11	2	3.0223635229714794e-12	-1.0142157646067633e-12
11	3	3.860157634163091e-12	1.7761051717371964e-12
11	4	-1.931634323907369e-12	8.975855548957698e-13
11	5	1.4019618480790092e-12	4.057937345741746e-13
11	6	2.1542502485696374e-13	4.040500450409449e-12
11	7	-1.0367060819377018e-12	3.5441837306800976e-13
11	8	-7.036490907974413e-13	-3.289217917566052e-12
11	9	1.2635133113264333e-12	1.2246070264663179e-13
11	10	5.715256651272878e-13	-2.044178334619735e-12
11	11	-1.1648383166673613e-12	-1.7428551443682387e-12
12	0	-1.881443704383073e-12	0.0
12	1	-8.836538231365747e-13	-1.667402799940773e-12
12	2	2.3374689370174543e-12	-3.451528395070521e-13
12	3	-1.3103180713119237e-12	1.2986440895417436e-12
12	4	8.005286387943069e-13	-6.111641310273386e-13
12	5	-1.1966109166774317e-12	3.536474026217021e-13
12	6	5.592543141021244e-13	-4.24780100057964e-12
12	7	7.79657380100079e-13	-2.2924762369408083e-12
12	8	3.5359897062043013e-12	6.055045392537869e-15
12	9	-8.239900886110055e-13	5.079015352489079e-13
12	10	-6.502926293769325e-13	8.888181859806637e-13
12	11	1.4538010580483309e-13	5.212468369883829e-13
12	12	1.3658945699484988e-12	6.913815256756253e-13
13	0	1.3575984007365216e-12	0.0
13	1	1.5643220285979308e-12	-1.530484729377894e-13
13	2	-1.3578598896016664e-13	1.932896325206388e-12
13	3	8.206874104870436e-13	4.856007297185499e-13
13	4	-2.489998114308384e-12	-1.9838547794853968e-13
13	5	-1.2396206649270276e-13	-7.855857739721269e-13
13	6	-1.800180670377411e-12	-1.4686194891109702e-12
13	7	2.1319723431393172e-13	9.303039951932058e-14
13	8	3.2063279791313254e-13	-1.1559384637299553e-12
13	9	1.2413397685589073e-12	2.0135114198042015e-13
13	10	-9.098470929862226e-13	3.5396554399772626e-13
13	11	2.526057934973464e-13	5.453280403867615e-13
13	12	2.2264092879073888e-13	-9.74379202059377e-13
13	13	-1.4669690488081745e-12	2.839035775536352e-13
14	0	-1.594025249541452e-12	0.0
