LON	LAT	VALUE
170.5	-72.5	-0.9186191543357586
171.5	-72.5	-1.1376008881043551
172.5	-72.5	-1.260935394706553
173.5	-72.5	-1.4118641802761356
174.5	-72.5	-1.7022842428946827
175.5	-72.5	-2.157520309672463
176.5	-72.5	-2.697044721146443
177.5	-72.5	-3.177899931081284
178.5	-72.5	-3.4701567352689917
179.5	-72.5	-3.5199370227542386
180.5	-72.5	-3.3683814142157487
181.5	-72.5	-3.121763975777605
182.5	-72.5	-2.8927574120576316
183.5	-72.5	-2.745283431398439
184.5	-72.5	-2.6718867809230398
185.5	-72.5	-2.6146389929557645
186.5	-72.5	-2.515299969526736
187.5	-72.5	-2.361256306345215
188.5	-72.5	-2.1949511353544535
189.5	-72.5	-2.0796108742880706
190.5	-72.5	-2.04775966861435
191.5	-72.5	-2.07471984110634
192.5	-72.5	-2.1007428073954757
193.5	-72.5	-2.0843497049895308
194.5	-72.5	-2.0402256829756062
195.5	-72.5	-2.0258511601742444
196.5	-72.5	-2.086173419498104
197.5	-72.5	-2.2059967799094946
198.5	-72.5	-2.316522898865508
199.5	-72.5	-2.3544991953432612
200.5	-72.5	-2.321646835013746
201.5	-72.5	-2.287153394777644
202.5	-72.5	-2.3258762889510356
203.5	-72.5	-2.4461580874001676
204.5	-72.5	-2.575673173375275
205.5	-72.5	-2.6236720172412067
206.5	-72.5	-2.56631678630008
207.5	-72.5	-2.475502860331896
208.5	-72.5	-2.4590781675002074
209.5	-72.5	-2.561783354968247
210.5	-72.5	-2.716889612392612
211.5	-72.5	-2.797619065596845
212.5	-72.5	-2.7282741631164824
213.5	-72.5	-2.557485145584173
214.5	-72.5	-2.424572156309991
215.5	-72.5	-2.442603838992681
216.5	-72.5	-2.597299021505875
217.5	-72.5	-2.751291659361247
218.5	-72.5	-2.754586949982266
219.5	-72.5	-2.5703555832163656
220.5	-72.5	-2.3101545600936673
221.5	-72.5	-2.1479053424320895
222.5	-72.5	-2.1836404710862563
223.5	-72.5	-2.3700951063433533
224.5	-72.5	-2.562693050554375
