N	M	R_coefficient	Q_coefficient
0	0	-7.81848050056359e-10	0.0
1	0	-2.1560925317553617e-10	0.0
1	1	-1.3208651023013358e-10	7.324364330373061e-11
2	0	-7.160199811218979e-11	0.0
2	1	-1.1521596246578094e-11	-1.1550229026943054e-11
2	2	5.418991776132638e-12	1.545978338222951e-11
3	0	-8.350177305506295e-11	0.0
3	1	-1.979039572722987e-11	-4.550037842444047e-11
3	2	1.0971595524043698e-11	-4.3993637270679786e-11
3	3	4.503211522713145e-11	-3.929449778923705e-11
4	0	-1.6510135528391908e-13	0.0
4	1	-4.219908173895973e-11	-3.968306686454173e-11
4	2	2.654541306447694e-11	-6.00002085525833e-11
4	3	3.46405708180769e-12	-1.9653067077450457e-11
4	4	5.69352782416696e-11	-3.689617668149994e-11
5	0	7.438635490763665e-11	0.0
5	1	2.8385135579640935e-12	-2.2264565808280952e-11
5	2	3.836136507722287e-11	-2.381558815193342e-11
5	3	-4.446445319668981e-12	-2.869957082650448e-11
5	4	-4.898059124425829e-14	2.6022296976571905e-11
5	5	1.3698983730947964e-12	-1.9816005588520375e-11
6	0	3.662049591240731e-11	0.0
6	1	3.518411582299757e-11	-1.2735979864894085e-11
6	2	3.868006555481187e-11	-4.692809037499127e-12
6	3	1.2425076857639568e-11	-2.5008954469566972e-11
6	4	-1.0998035559804317e-11	6.428115056211659e-12
6	5	-5.299513729003603e-12	2.6022718684823255e-11
6	6	-1.9943526732412195e-11	-1.4370910125077326e-11
7	0	-7.1425060005996814e-12	0.0
7	1	1.0640917246737236e-11	-8.362495708159533e-12
7	2	1.898028737924543e-11	-5.513945440538696e-12
7	3	1.4045806154604451e-11	5.000054620576124e-12
7	4	1.0888668282510458e-13	-1.2562854576535291e-11
7	5	-9.86942992125046e-13	1.1502878495293017e-11
7	6	-1.0033762135142987e-11	1.0553269680509289e-11
7	7	-2.9281270624896868e-12	3.885202822108596e-12
8	0	9.715368059417243e-12	0.0
8	1	-8.984812471685626e-12	-9.545715278774458e-13
8	2	-3.889572125011247e-12	3.370023914183306e-12
8	3	3.2111583737559087e-12	7.031721009698607e-12
8	4	-1.3494228175094805e-11	8.861397888562485e-12
8	5	2.842323022627535e-12	-1.7041669572013e-11
8	6	1.9768373396510597e-12	5.744429086725628e-12
8	7	-1.8008431374428523e-12	-1.1111937177439955e-11
8	8	2.5165550401422793e-12	1.00809610800516e-11
9	0	2.0816854072082133e-11	0.0
9	1	4.391191276267004e-12	1.3447271880736932e-12
9	2	-2.655563605505282e-12	1.0906122244184851e-11
9	3	-1.7687688240980771e-12	-1.2098117241487757e-11
9	4	-9.442636176106054e-12	1.5628286376766382e-11
9	5	-2.83186596816602e-12	-9.977630687241128e-12
9	6	6.9893967125642255e-12	-5.0705959214145395e-12
9	7	1.117271065112014e-11	-2.6982529930596637e-12
9	8	-8.027020446339605e-15	-8.979267733893097e-12
9	9	1.2509398125401395e-12	2.6637677379458253e-12
